"","x"
"1404","TH1L"
"1405","ETV7"
"1406","PHF7"
"1407","ZNF581"
"1408","SIRT7"
"1409","HDAC7A"
"1410","PCQAP"
"1411","PIAS4"
"1412","TRIM33"
"1413","TAF9B"
"1414","KLF13"
"1415","ASB1"
"1416","ASB4"
"1417","SUFU"
"1418","ZNF44"
"1419","RAP80"
"1420","POLR3K"
"1421","WBP11"
"1422","ARID4B"
"1423","HBXAP"
"1424","SIX4"
"1425","BCL11A"
"1426","MBD3"
"1427","BRWD1"
"1428","ZDHHC13"
"1429","ING3"
"1430","SCAND2"
"1431","FBXL19"
"1432","HES2"
"1433","HSMPP8"
"1434","FEV"
"1435","ZNF586"
"1436","GATAD2A"
"1437","ANKRD49"
"1438","GON4L"
"1439","BCOR"
"1440","CASZ1"
"1441","WHSC1L1"
"1442","ZNF434"
"1443","ZSCAN2"
"1444","ANKZF1"
"1445","PB1"
"1446","PHF10"
"1447","ZNF444"
"1448","C14orf106"
"1449","ZNF331"
"1450","HES6"
"1451","SNFT"
"1452","MAML3"
"1453","HSZFP36"
"1454","SOX6"
"1455","ANKRD10"
"1456","ZDHHC7"
"1457","ZNF407"
"1458","PNRC2"
"1459","ZNF673"
"1460","CHD7"
"1461","ZNF416"
"1462","HIF1AN"
"1463","ZNF446"
"1464","YEATS2"
"1465","POLR3B"
"1466","ZNF334"
"1467","POLR3E"
"1468","ATF7IP"
"1469","ZFP64"
"1470","ZNF83"
"1471","DCP1A"
"1472","HR"
"1473","TRERF1"
"1474","FOXJ2"
"1475","BDP1"
"1476","HDAC8"
"1477","ASH1L"
"1478","LMO3"
"1479","ZNF167"
"1480","MYNN"
"1481","ZNF395"
"1482","ZNF302"
"1483","MLL5"
"1484","NKRF"
"1485","DMAP1"
"1486","BARX1"
"1487","NDNL2"
"1488","ZNF253"
"1489","CTNNBL1"
"1490","ANKRD7"
"1491","PPAN"
"1492","ASCL3"
"1493","SLC2A4RG"
"1494","BARHL1"
"1495","PAPOLB"
"1496","C21orf7"
"1497","SMARCAD1"
"1498","MEIS3"
"1499","ARNTL2"
"1500","XAB2"
"1501","LHX9"
"1502","PRDM8"
"1503","PRDM9"
"1504","PRDM10"
"1505","BBX"
"1506","TULP4"
"1507","CTNNBIP1"
"1508","TBX20"
"1509","REXO4"
"1510","ZNF695"
"1511","INTS12"
"1512","SALL4"
"1513","ZNFX1"
"1514","ZNF248"
"1515","PBXIP1"
"1516","CBX8"
"1517","ZNF286"
"1518","ZNF287"
"1519","ZNF304"
"1520","GATAD2B"
"1521","CNOT6"
"1522","GM632"
"1523","ZNF490"
"1524","ARID1B"
"1525","MKL2"
"1526","MTA3"
"1527","ZNF398"
"1528","ZNF624"
"1529","ZNF319"
"1530","ZNF471"
"1531","CRAMP1L"
"1532","MKL1"
"1533","RP5-860F19.3"
"1534","KIAA1443"
"1535","TSHZ3"
"1536","ZBTB2"
"1537","EP400"
"1538","POGK"
"1539","PHF12"
"1540","CALCOCO1"
"1541","KIAA1559"
"1542","CHD8"
"1543","ZBTB26"
"1544","ZNF317"
"1545","NCOA5"
"1546","TRIB3"
"1547","ANKRA2"
"1548","RBAK"
"1549","SF4"
"1550","GATAD1"
"1551","HES4"
"1552","ZNF410"
"1553","NEUROD4"
"1554","ZF"
"1555","ZNF71"
"1556","ZNF77"
"1557","OVOL2"
"1558","ZNF462"
"1559","ZNF250"
"1560","SR-A1"
"1561","MLL3"
"1562","DMRT3"
"1563","HIVEP3"
"1564","PRDM12"
"1565","PRDM13"
"1566","ZNF350"
"1567","TGIF2"
"1568","BACH2"
"1569","ALX4"
"1570","PKNOX2"
"1571","ZNF335"
"1572","ANKRD5"
"1573","DMRTC2"
"1574","DMRTB1"
"1575","DMRTA1"
"1576","NEUROG2"
"1577","NEUROD6"
"1578","PRDM16"
"1579","PRDM14"
"1580","NPAS3"
"1581","FKSG14"
"1582","MMS19L"
"1583","LHX5"
"1584","ZNF323"
"1585","SOX17"
"1586","NSD1"
"1587","NFKBIZ"
"1588","HIF3A"
"1589","GZF1"
"1590","POLR1E"
"1591","ZDHHC6"
"1592","EBF2"
"1593","SMURF2"
"1594","RBM15"
"1595","ISL2"
"1596","RFXDC2"
"1597","PAPOLG"
"1598","BCL11B"
"1599","C2orf26"
"1600","ZSWIM4"
"1601","ZNF649"
"1602","ZNF447"
"1603","ZBTB10"
"1604","ZNF747"
"1605","ZNF655"
"1606","DDX54"
"1607","ZNF426"
"1608","PHF23"
"1609","ZSCAN5"
"1610","ZNF343"
"1611","IRX6"
"1612","IRX3"
"1613","IRX1"
"1614","ZNF557"
"1615","BHLHB3"
"1616","NSBP1"
"1617","LASS4"
"1618","HMBOX1"
"1619","FLJ11795"
"1620","SUV39H2"
"1621","FLJ23436"
"1622","LIN28"
"1623","E2F8"
"1624","ZNF419"
"1625","SNIP1"
"1626","ZNF408"
"1627","ALS2CR8"
"1628","EHMT1"
"1629","TLE6"
"1630","ZBTB3"
"1631","ZNF669"
"1632","HDAC11"
"1633","ZNF671"
"1634","ZNF613"
"1635","NANOG"
"1636","PHF17"
"1637","ZNF442"
"1638","ANKRD53"
"1639","ZNF556"
"1640","ZNF606"
"1641","ZFP2"
"1642","NARG1"
"1643","ELL3"
"1644","ZNF430"
"1645","EPC1"
"1646","ZNF306"
"1647","ABTB1"
"1648","ZNF435"
"1649","ESX1"
"1650","PBX4"
"1651","THAP7"
"1652","ZNF34"
"1653","ZNF436"
"1654","ZFP91"
"1655","TSC22D4"
"1656","ZNF611"
"1657","ZNF93"
"1658","TCF7L1"
"1659","MXD3"
"1660","SCRT1"
"1661","SOX7"
"1662","TFAP2D"
"1663","L3MBTL2"
"1664","KLF16"
"1665","MIXL1"
"1666","HDAC10"
"1667","BRIP1"
"1668","PCBD2"
"1669","PCGF6"
"1670","ZNF394"
"1671","ZNF644"
"1672","ARID5B"
"1673","ASCC2"
"1674","POLR1B"
"1675","SLA2"
"1676","MAF1"
"1677","ANKRD32"
"1678","ZDHHC16"
"1679","ING5"
"1680","PHF6"
"1681","ZNF397"
"1682","MKI67IP"
"1683","DOT1L"
"1684","ZNF333"
"1685","ZNF512"
"1686","L3MBTL3"
"1687","MLR2"
"1688","NKX6-2"
"1689","MCM8"
"1690","HOP"
"1691","ZNF559"
"1692","PEPP-2"
"1693","PGBD1"
"1694","ZBTB37"
"1695","KIAA1862"
"1696","ZNF469"
"1697","SPZ1"
"1698","GLIS2"
"1699","HES7"
"1700","ZNF347"
"1701","FBXL10"
"1702","INSM2"
"1703","CREB3L3"
"1704","HDGF2"
"1705","ZNF577"
"1706","ZNF496"
"1707","RAXL1"
"1708","PHF5A"
"1709","ZNF514"
"1710","ZNF499"
"1711","ZNF206"
"1712","ZNF341"
"1713","ZNF382"
"1714","ZNF587"
"1715","FLJ14768"
"1716","ZNF566"
"1717","C20orf100"
"1718","TRIM5"
"1719","EAF1"
"1720","NKD2"
"1721","PRIC285"
"1722","ZFHX2"
"1723","SCRT2"
"1724","MBD3L1"
"1725","HSFY1"
"1726","TRIM15"
"1727","LHX4"
"1728","ZNF30"
"1729","ZNF551"
"1730","TGIF2LX"
"1731","LOC90321"
"1732","ZNF160"
"1733","THRAP6"
"1734","ZNF700"
"1735","ZNF439"
"1736","ZNF486"
"1737","TGIF2LY"
"1738","PYGO2"
"1739","ZNF479"
"1740","SPOCD1"
"1741","ZNF251"
"1742","CREB3L1"
"1743","LASS5"
"1744","ANKRD30A"
"1745","L3MBTL4"
"1746","ZNF502"
"1747","CHURC1"
"1748","LOC91661"
"1749","YTHDC1"
"1750","ZNF300"
"1751","GIOT-1"
"1752","ZNF585B"
"1753","ZFP62"
"1754","FANK1"
"1755","MGC13138"
"1756","ZNF276"
"1757","PRDM6"
"1758","ZNF670"
"1759","MYOCD"
"1760","FOXP2"
"1761","ZNF101"
"1762","C21orf66"
"1763","FOXQ1"
"1764","PHF21B"
"1765","MED8"
"1766","ZNF257"
"1767","ZIM3"
"1768","TOE1"
"1769","ZNF554"
"1770","ZNF689"
"1771","ZNF501"
"1772","ZNF653"
"1773","FOXP4"
"1774","OLIG1"
"1775","CENTG3"
"1776","DACH2"
"1777","TWIST2"
"1778","ZNF354B"
"1779","ZNF488"
"1780","ANKRD22"
"1781","ZNF641"
"1782","SP7"
"1783","AEBP2"
"1784","BTBD11"
"1785","SPIC"
"1786","FOXN4"
"1787","JDP2"
"1788","ANKS3"
"1789","ZNF441"
"1790","ZNF491"
"1791","ZNF440"
"1792","ZNF573"
"1793","LOC126295"
"1794","DMBX1"
"1795","C1orf83"
"1796","HMGB4"
"1797","ZBTB8"
"1798","TSHZ2"
"1799","HMG4L"
"1800","SUHW1"
"1801","LOC129138"
"1802","ZNF513"
"1803","ZFP42"
"1804","PPARGC1B"
"1805","JMY"
"1806","FLJ25680"
"1807","DKFZp762I137"
"1808","KLF14"
"1809","ASB10"
"1810","C7orf11"
"1811","TAF1L"
"1812","CXorf43"
"1813","ASB11"
"1814","ASB6"
"1815","ASB8"
"1816","ASB9"
"1817","ZNF358"
"1818","ZFP28"
"1819","GATA5"
"1820","BTBD4"
"1821","CTCFL"
"1822","SUHW2"
"1823","C20orf151"
"1824","ASB15"
"1825","ASB12"
"1826","GSC"
"1827","ZFP90"
"1828","ZNF597"
"1829","FLJ32130"
"1830","ZNF688"
"1831","ZNF480"
"1832","ZNF578"
"1833","ZNF418"
"1834","ZNF417"
"1835","ZNF560"
"1836","ZNF524"
"1837","ZNF563"
"1838","SIX5"
"1839","ZNF420"
"1840","ZNF565"
"1841","ZNF582"
"1842","ZNF583"
"1843","ZNF599"
"1844","ZNF558"
"1845","LOC148203"
"1846","ZNF714"
"1847","ZNF555"
"1848","ZNF570"
"1849","CREB3L4"
"1850","PHF13"
"1851","GLIS1"
"1852","SMYD1"
"1853","NFXL1"
"1854","ZNF595"
"1855","IRX2"
"1856","FLJ25169"
"1857","ZNF483"
"1858","OTEX"
"1859","ZDHHC15"
"1860","NKX2-3"
"1861","ZFPM1"
"1862","ZFP1"
"1863","ZNF519"
"1864","TCEB3C"
"1865","ZNF610"
"1866","ZNF550"
"1867","ZNF342"
"1868","DEDD2"
"1869","ZNF564"
"1870","ZNF709"
"1871","ZNF433"
"1872","ZNF114"
"1873","ZNF567"
"1874","ZNF383"
"1875","ZNF100"
"1876","ZNF540"
"1877","CITED4"
"1878","ZNF366"
"1879","OLIG3"
"1880","ZNF92"
"1881","ZNF679"
"1882","ZNF467"
"1883","BHLHB8"
"1884","ZNF596"
"1885","GLIS3"
"1886","ZNF169"
"1887","MGC17403"
"1888","ARX"
"1889","SSBP4"
"1890","GSH2"
"1891","ZNF431"
"1892","ZNF384"
"1893","ASXL1"
"1894","ZNF675"
"1895","POLR3H"
"1896","FLJ31875"
"1897","ZNF553"
"1898","ZNF627"
"1899","ZNF585A"
"1900","ZNF626"
"1901","FOXD4L1"
"1902","ZNF584"
"1903","ZSCAN4"
"1904","TIGD4"
"1905","KHDRBS2"
"1906","ZNF449"
"1907","LASS3"
"1908","GSH1"
"1909","ZNF25"
"1910","JMJD1C"
"1911","ZBTB9"
"1912","ZBTB12"
"1913","SP8"
"1914","tcag7.981"
"1915","RFXDC1"
"1916","ZNF390"
"1917","VGLL2"
"1918","CNOT6L"
"1919","POLR2J2"
"1920","ZNF396"
"1921","NEIL2"
"1922","ZBTB38"
"1923","EBF3"
"1924","MLR1"
"1925","MCMDC1"
"1926","BCL6B"
"1927","ZNF549"
"1928","PTF1A"
"1929","SHPRH"
"1930","ZNF311"
"1931","MKX"
"1932","RCOR2"
"1933","PTRF"
"1934","ZNF547"
"1935","ZSCAN1"
"1936","ZNF283"
"1937","ZNF615"
"1938","ZNF545"
"1939","LOC115648"
"1940","ZNF493"
"1941","HKR1"
"1942","ZNF326"
"1943","ZNF454"
"1944","ZNF707"
"1945","ZFP41"
"1946","RP11-561O23.3"
"1947","SALF"
"1948","SNAI3"
"1949","ANKRD42"
"1950","CHX10"
"1951","ZNF546"
"1952","ANKRD45"
"1953","TFAP2E"
"1954","ZDHHC21"
"1955","ANKRD33"
"1956","ZNF404"
"1957","ZNF677"
"1958","HKR2"
"1959","BARHL2"
"1960","FIGLA"
"1961","ZFP57"
"1962","ZNF81"
"1963","TBX10"
"1964","ZNF713"
"1965","FOXD4L4"
"1966","ZNF429"
"1967","ZNF445"
"1968","LOC360030"
"1969","ZNF568"
"1970","ZNF307"
"1971","MAFA"
"1972","ZBTB34"
"1973","BOLA2"
"1974","LOC643641"
"1975","HES3"
"1976","HES5"
"1977","DUX1"
"1978","DUXA"
"1979","E2F7"
"1980","EBF1"
"1981","FOXD4L2"
"1982","GRHL3"
"1983","HMGB1"
"1984","HMGXB4"
"1985","IRF9"
"1986","KLF17"
"1987","MESP1"
"1988","MESP2"
"1989","MYCL2"
"1990","NFKBIE"
"1991","NKX6-3"
"1992","RCOR1"
"1993","TOX4"
"1994","TRIM27"
"1995","ZBTB48"
"1996","ZFAT"
"1997","ZKSCAN2"
"1998","ZKSCAN3"
"1999","ZKSCAN4"
"2000","ZNF322P1"
"2001","ZNF367"
"2002","ZNF425"
"2003","ZNF498"
"2004","ZNF518A"
"2005","ZNF518B"
"2006","ZNF576"
"2007","ZNF628"
"2008","ZNF643"
"2009","ZNF75CP"
"2010","ZNF770"
"2011","ZSCAN12"
"2012","ZSCAN16"
"2013","ZSCAN18"
"2014","ZSCAN20"
"2015","ZSCAN22"
"2016","ZSCAN23"
"2017","ZSCAN29"
"2018","ZSCAN5A"
"2019","ZSCAN5B"
"2020","ZXDC"
