"","x"
"337","LYL1"
"338","MXD1"
"339","SMAD1"
"340","SMAD2"
"341","SMAD3"
"342","SMAD4"
"343","SMAD5"
"344","SMAD6"
"345","SMAD7"
"346","SMAD9"
"347","MAF"
"348","MAFG"
"349","MAX"
"350","MAZ"
"351","MBD1"
"352","MCM2"
"353","MCM3"
"354","MCM4"
"355","MCM5"
"356","MCM6"
"357","MCM7"
"358","MDM4"
"359","MDS1"
"360","MECP2"
"361","MEF2A"
"362","MEF2B"
"363","MEF2C"
"364","MEF2D"
"365","MEIS1"
"366","MEIS2"
"367","MEIS3P1"
"368","MEN1"
"369","MEOX1"
"370","MEOX2"
"371","CIITA"
"372","MITF"
"373","MLL"
"374","MLLT1"
"375","AFF1"
"376","MLLT3"
"377","MLLT6"
"378","MLLT7"
"379","NR3C2"
"380","MNDA"
"381","MNT"
"382","CITED1"
"383","MSX1"
"384","MSX2"
"385","MTF1"
"386","MXI1"
"387","MYB"
"388","MYBL1"
"389","MYBL2"
"390","MYC"
"391","MYCL1"
"392","MYCN"
"393","MYF5"
"394","MYF6"
"395","MYOD1"
"396","MYOG"
"397","MYT1"
"398","NAB1"
"399","NAB2"
"400","NAP1L2"
"401","NAP1L3"
"402","NAP1L4"
"403","NDN"
"404","NEUROD1"
"405","NEUROD2"
"406","NEUROG1"
"407","NFATC1"
"408","NFATC2"
"409","NFIA"
"410","NFATC3"
"411","NFATC4"
"412","NFE2"
"413","NFE2L1"
"414","NFE2L2"
"415","NFIB"
"416","NFIC"
"417","NFIL3"
"418","NFIX"
"419","NFKB1"
"420","NFKB2"
"421","NFKBIA"
"422","NFKBIB"
"423","NFKBIL1"
"424","NFKBIL2"
"425","NFRKB"
"426","NFX1"
"427","NFYA"
"428","NFYB"
"429","NFYC"
"430","NHLH1"
"431","NHLH2"
"432","NKX2-2"
"433","NKX3-1"
"434","NKX6-1"
"435","NME2"
"436","NONO"
"437","CNOT2"
"438","CNOT3"
"439","CNOT4"
"440","NOTCH2"
"441","NOTCH3"
"442","NOTCH4"
"443","NPAS1"
"444","NPAS2"
"445","NPM1"
"446","NRF1"
"447","NRL"
"448","YBX1"
"449","NR4A2"
"450","SIX6"
"451","ORC2L"
"452","OTX1"
"453","OTX2"
"454","OVOL1"
"455","PA2G4"
"456","PARN"
"457","PAWR"
